quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,days_to_next_dividend,percent_return_next_dividend,ISM,PCE,next_weeks_open,next_weeks_close,percent_change_next_weeks_price
1,2,20110114,16.71,16.71,15.64,15.97,242963398,-4.42849,1.380223028,239655616,19,0.187852,59.3,10512.4,16.19,15.79,-2.47066
1,1,20110114,44.2,46.25,44.01,46.25,25913713,4.63801,-42.54425775,45102042,82,0.389189,59.3,10512.4,46.03,46,-0.0651749
1,5,20110114,69.42,70.5,68.35,70.07,18834664,0.93633,-48.05394212,36258120,26,0.599401,59.3,10512.4,70.86,71.68,1.15721
1,4,20110114,14.17,15.25,14.09,15.25,760935694,7.62174,-47.64583288,1453438639,47,0.0655738,59.3,10512.4,15.08,14.25,-5.50398
1,6,20110114,93.21,94.7,92.51,94.01,19707235,0.858277,-18.3488805,24135903,4,0.468035,59.3,10512.4,94.16,92.75,-1.49745
1,8,20110114,20.94,21.23,20.7,21.21,154708263,1.2894,-49.03298835,303545878,74,0.282885,59.3,10512.4,21.22,20.72,-2.35627
1,7,20110114,90.95,92.85,90.12,92.83,28260512,2.06707,-20.51894731,35556288,31,0.775611,59.3,10512.4,92.94,93.78,0.903809
1,10,20110114,48.3,49.8,47.2,49.8,34546875,3.10559,24.90378736,27658789,28,0.823293,59.3,10512.4,49.53,48.35,-2.38239
1,29,20110114,39.01,39.81,38.92,39.29,31943413,0.717765,-56.1924641,72917621,329,1.01807,59.3,10512.4,39.07,39.74,1.71487
1,12,20110114,18.61,18.82,18.46,18.82,215626229,1.12843,-23.03090658,280146510,31,0.74389,59.3,10512.4,18.98,19.74,4.00421
1,14,20110114,34.16,35.89,34.07,35.89,41918450,5.0644,-25.9088433,56576860,53,0.696573,59.3,10512.4,35.97,36.51,1.50125
1,13,20110114,44.86,46.25,44.57,46.25,65464211,3.09853,-34.54935299,100020724,59,0.172973,59.3,10512.4,46.14,47.23,2.36238
1,16,20110114,147,150,146,150,15335348,2.04082,-34.72331978,23492843,25,0.433333,59.3,10512.4,149.82,155.5,3.79122
1,15,20110114,20.71,21.33,20.57,21.08,274111012,1.78658,-29.11892917,386719626,20,0.85389,59.3,10512.4,21.03,20.82,-0.998573
1,17,20110114,62.29,62.98,62,62.55,34950419,0.417402,-39.50570645,57774737,42,0.863309,59.3,10512.4,62.21,62.66,0.723356
1,18,20110114,43.27,44.97,43,44.91,144662779,3.79015,-38.32271009,234547885,80,0.556669,59.3,10512.4,45.02,45.29,0.599733
1,9,20110114,62.7,63.86,62.56,63.13,31297830,0.685805,-47.6644074,59802189,56,0.744496,59.3,10512.4,63.21,62.77,-0.696092
1,19,20110114,30.91,31.72,30.89,31.34,24955086,1.39114,-44.50944226,44971770,74,0.925335,59.3,10512.4,31.41,31.35,-0.191022
1,20,20110114,74.25,74.49,72.46,74.06,44895850,-0.255892,-47.42916382,85400677,42,0.823656,59.3,10512.4,74.65,75.01,0.482251
1,0,20110114,85.7,88.8,85.7,88.1,11585909,2.80047,-28.33571092,16166921,33,0.624291,59.3,10512.4,87.84,89.29,1.65073
1,21,20110114,37.26,37.61,34.23,34.23,108158891,-8.13204,48.65058696,72760487,56,1.11014,59.3,10512.4,34.07,33.9,-0.498973
1,22,20110114,28.2,28.5,28,28.3,227601331,0.35461,-30.74577985,328646154,32,0.565371,59.3,10512.4,28.16,28.02,-0.497159
1,23,20110114,18.22,18.48,18.13,18.34,218359623,0.658617,-43.54784915,386804789,19,1.09051,59.3,10512.4,18.35,18.36,0.0544959
1,24,20110114,64.4,65.53,63.4,65.53,41932473,1.75466,-19.85897043,52323352,5,0.732489,59.3,10512.4,65.65,65.91,0.39604
1,3,20110114,28.54,28.61,27.71,28.43,170616350,-0.385424,8.098365941,157834347,23,1.51249,59.3,10512.4,28.55,28.33,-0.770578
1,25,20110114,53.12,54.84,52.96,54.63,14820631,2.84262,-25.93430373,20010115,53,0.658979,59.3,10512.4,54.62,55,0.695716
